business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods (old),Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
82909,Belga,2000 Union St,San Francisco,CA,94123,,,,,82909_20181001,2018-10-01T00:00:00.000,87,Routine - Unscheduled,82909_20181001_103161,Low risk vermin infestation,Low Risk,,,,,,
100475,PENINSULA CATERING AND EVENTS,2594 OAKDALE AVE,San Francisco,CA,94124,,,,+14155827786,100475_20190826,2019-08-26T00:00:00.000,,New Ownership,100475_20190826_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,,,,,,
97572,THE SHOTA,115 Sansome St Unit 105,San Francisco,CA,94104,,,,+14158222074,97572_20181012,2018-10-12T00:00:00.000,,New Ownership,,,,,,,,,
1712,SEA BREEZE CAFE,3940 JUDAH St,San Francisco,CA,94122,37.760508,-122.504572,"{'type': 'Point', 'coordinates': [-122.504572, 37.760508]}",,1712_20190918,2019-09-18T00:00:00.000,87,Routine - Unscheduled,1712_20190918_103157,Food safety certificate or food handler card not available,Low Risk,35,8,3,1,56,35
68597,12 Tribes Kosher Foods,3200 California St,San Francisco,CA,94118,37.787311,-122.446839,"{'type': 'Point', 'coordinates': [-122.446839, 37.787311]}",,68597_20190529,2019-05-29T00:00:00.000,98,Routine - Unscheduled,68597_20190529_103156,Permit license or inspection report not posted,Low Risk,31,6,1,13,54,31
75701,Alley House,3751 Geary Blvd,San Francisco,CA,94118,,,,+14155227427,75701_20190404,2019-04-04T00:00:00.000,70,Routine - Unscheduled,75701_20190404_103131,Moderate risk vermin infestation,Moderate Risk,,,,,,
90461,Mr. T Cafe,4689 Mission St,San Francisco,CA,94112,,,,,90461_20170401,2017-04-01T00:00:00.000,90,Routine - Unscheduled,90461_20170401_103139,Improper food storage,Low Risk,,,,,,
89678,Bonito Poke,2277 Shafter Ave,San Francisco,CA,,,,,+14155535548,89678_20190222,2019-02-22T00:00:00.000,100,Routine - Unscheduled,,,,,,,,,
93815,Little Heaven Deli,2348 Mission Street,San Francisco,CA,94110,,,,,93815_20171102,2017-11-02T00:00:00.000,,New Ownership,93815_20171102_103145,Improper storage of equipment utensils or linens,Low Risk,,,,,,
82911,Super Duper,346 Kearny St,San Francisco,CA,94108,,,,,82911_20181004,2018-10-04T00:00:00.000,94,Routine - Unscheduled,82911_20181004_103156,Permit license or inspection report not posted,Low Risk,,,,,,
